Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,30.1875,27.0,29.8046875,30.125,5070600.0,27.568111419677734
2000-01-04,31.0625,28.34375,28.5625,30.4375,6766400.0,27.85407829284668
2000-01-05,39.96875,30.75,30.96875,39.21875,22553000.0,35.89000701904297
2000-01-06,37.96875,35.0,36.71875,35.0,8734000.0,32.02934265136719
2000-01-07,37.375,31.84375,34.8125,36.78125,8537800.0,33.659400939941406
2000-01-10,45.0,36.625,37.5,42.5625,8397400.0,38.9499626159668
2000-01-11,42.1875,39.625,41.46875,41.1875,5694200.0,37.69166564941406
2000-01-12,40.90625,33.1875,40.875,35.5625,8344000.0,32.54409408569336
2000-01-13,40.875,36.65625,36.8125,40.0,7782200.0,36.604957580566406
2000-01-14,42.9375,38.8125,41.40625,40.6875,5880800.0,37.234092712402344
2000-01-18,40.65625,37.75,40.65625,38.375,3520400.0,35.11787033081055
2000-01-19,39.0625,36.96875,38.5,37.25,3553600.0,34.088375091552734
2000-01-20,39.15625,37.0,37.75,38.1875,4420800.0,34.94629669189453
2000-01-21,39.625,37.0625,39.5,37.8125,6374400.0,34.603118896484375
2000-01-24,37.8125,33.6875,37.78125,33.78125,4457400.0,30.914024353027344
2000-01-25,36.125,34.0625,35.0,35.15625,5063400.0,32.17231750488281
2000-01-26,36.5,32.78125,35.625,32.875,2935600.0,30.084693908691406
2000-01-27,35.46875,30.21875,33.53125,32.0,6132200.0,29.283966064453125
2000-01-28,32.6875,28.3125,31.53125,28.875,7144600.0,26.424198150634766
2000-01-31,30.53125,27.75,28.4375,30.15625,6092400.0,27.596710205078125
2000-02-01,32.4375,29.625,31.09375,32.40625,4481400.0,29.655738830566406
2000-02-02,35.5,32.75,32.84375,33.9375,6300200.0,31.057008743286133
2000-02-03,35.15625,32.75,34.59375,34.8125,5153000.0,31.85775375366211
2000-02-04,36.125,34.125,35.4921875,34.625,3843000.0,31.686166763305664
2000-02-07,34.6875,33.40625,34.6875,33.78125,2878800.0,30.914024353027344
2000-02-08,36.0,34.3125,34.96875,34.5,4420200.0,31.57176399230957
2000-02-09,35.1484375,32.46875,34.65625,32.625,5163000.0,29.855920791625977
2000-02-10,32.34375,30.5,32.1875,31.875,6262200.0,29.169572830200195
2000-02-11,31.9375,29.9375,31.53125,30.5,5457800.0,27.911273956298828
2000-02-14,30.6875,29.5,30.6875,29.875,3166200.0,27.339324951171875
2000-02-15,30.5,27.5,29.6875,28.71875,8945000.0,26.28121566772461
2000-02-16,31.5,29.125,29.5,30.53125,7932800.0,27.93987464904785
2000-02-17,32.3125,31.0,31.59375,32.15625,4530400.0,29.426952362060547
2000-02-18,32.875,29.9375,32.875,30.59375,4089000.0,27.997074127197266
2000-02-22,31.3125,29.875,30.3125,31.0625,4723600.0,28.42603302001953
2000-02-23,34.03125,30.8125,30.84375,33.78125,7542400.0,30.914024353027344
2000-02-24,36.375,34.0,34.3125,36.15625,10621000.0,33.08745193481445
2000-02-25,31.75,28.5,31.5,29.28125,42818200.0,26.79596710205078
2000-02-28,29.75,26.34375,29.28125,26.84375,11239600.0,24.565353393554688
2000-02-29,27.4375,25.625,27.375,26.25,10886000.0,24.022001266479492
2000-03-01,26.9375,23.875,26.3125,24.125,15564800.0,22.07736587524414
2000-03-02,24.8125,22.75,24.34375,23.28125,10233800.0,21.30522346496582
2000-03-03,27.5,24.765625,25.625,26.4375,11739400.0,24.193588256835938
2000-03-06,28.625,26.90625,27.75,27.53125,9520600.0,25.194501876831055
2000-03-07,28.375,25.25,28.1875,25.84375,6480400.0,23.650232315063477
2000-03-08,26.9375,25.375,26.75,25.6875,5495400.0,23.507247924804688
2000-03-09,28.1875,25.0,25.25,28.125,10622800.0,25.73785972595215
2000-03-10,29.8125,27.46875,27.625,29.21875,9411800.0,26.73877716064453
2000-03-13,28.71875,26.71875,28.65625,26.75,6526800.0,24.47956085205078
2000-03-14,28.0,25.5,27.625,25.53125,4877600.0,23.3642520904541
2000-03-15,26.5,24.40625,26.5,25.03125,6086000.0,22.906694412231445
2000-03-16,26.5078125,23.125,25.875,25.96875,10410800.0,23.764619827270508
2000-03-17,27.5,26.25,26.875,27.25,10756200.0,24.937129974365234
2000-03-20,27.4375,25.0,27.1875,25.5,4196800.0,23.33565902709961
2000-03-21,26.53125,24.125,25.5,26.46875,4976000.0,24.222183227539062
2000-03-22,26.4375,25.5,26.1875,26.21875,5362800.0,23.9934024810791
2000-03-23,28.375,25.3125,25.5,27.96875,10817600.0,25.59486961364746
2000-03-24,30.5625,28.375,28.4375,29.875,18189600.0,27.339324951171875
2000-03-27,30.6875,29.21875,30.0,29.46875,6544400.0,26.967561721801758
2000-03-28,29.3125,27.96875,29.3125,28.03125,3646000.0,25.652063369750977
2000-03-29,28.25,25.75,28.25,25.96875,7193400.0,23.764619827270508
2000-03-30,26.84375,25.25,25.5625,25.46875,5657800.0,23.30706024169922
2000-03-31,27.5,25.4375,26.0,27.1875,6323800.0,24.879932403564453
2000-04-03,26.875,24.5,26.5,24.65625,4641800.0,22.56352424621582
2000-04-04,26.3125,22.8125,25.46875,25.84375,6051000.0,23.650232315063477
2000-04-05,26.125,23.5,25.0,24.8125,4831800.0,22.70650863647461
2000-04-06,25.5,23.9375,25.34375,24.375,4567800.0,22.3061466217041
2000-04-07,25.46875,24.4375,24.59375,25.15625,5081200.0,23.021085739135742
2000-04-10,23.65625,20.0,23.65625,20.5,18780400.0,18.760040283203125
2000-04-11,20.59375,18.75,20.59375,19.75,15840800.0,18.073698043823242
2000-04-12,20.5,18.0625,20.25,18.71875,9848800.0,17.129976272583008
2000-04-13,20.0625,17.625,18.78125,17.8125,8707000.0,16.300640106201172
2000-04-14,20.0625,15.9375,17.3125,16.0,8450800.0,14.641983032226562
2000-04-17,17.5,15.25,15.875,16.9375,9897600.0,15.499909400939941
2000-04-18,18.5625,16.5,17.5,18.375,8987800.0,16.815401077270508
2000-04-19,18.75,17.21875,18.75,17.46875,6167000.0,15.986069679260254
2000-04-20,17.6875,16.9375,17.53125,17.5,5299600.0,16.014671325683594
2000-04-24,17.25,15.0,17.21875,15.875,4764800.0,14.527589797973633
2000-04-25,17.96875,16.28125,16.6875,17.78125,7320000.0,16.27204704284668
2000-04-26,20.125,17.75,17.875,18.5625,9067600.0,16.986988067626953
2000-04-27,20.15625,17.03125,18.3125,20.0,5984800.0,18.302478790283203
2000-04-28,20.375,17.75,20.3125,17.96875,7443600.0,16.443632125854492
2000-05-01,19.0,18.0,18.5625,18.0625,8182600.0,16.529422760009766
2000-05-02,18.5,17.0625,18.25,17.25,3994800.0,15.785881996154785
2000-05-03,17.03125,15.5625,17.03125,16.03125,4286800.0,14.67057991027832
2000-05-04,17.1875,16.0625,16.5,16.75,3901400.0,15.328327178955078
2000-05-05,17.625,16.25,16.28125,17.3125,3266000.0,15.843083381652832
2000-05-08,17.40625,15.96875,17.34375,16.0,3335800.0,14.641983032226562
2000-05-09,16.1875,14.71875,16.1875,15.78125,7109200.0,14.441801071166992
2000-05-10,16.0625,14.75,15.6875,15.09375,3468600.0,13.812650680541992
